gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_000082,207,293,151,101,838,441,262,680,518,682
FUN_000083,571,637,289,243,2007,1025,778,1638,1249,1643
FUN_000084,2228,2987,2386,2667,7650,5823,3099,12939,4921,8842
FUN_000085,298,405,420,280,489,366,355,444,409,571
FUN_000086,179,220,160,183,479,355,249,457,387,567
FUN_000087,340,458,375,453,551,458,397,592,481,608
FUN_000088,41,57,78,56,87,63,85,64,92,95
FUN_000089,59,169,106,70,128,114,104,100,90,140
FUN_000090,161,182,170,200,578,549,386,583,540,704
FUN_000091,2215,4788,4693,3117,5156,3777,4003,5100,3277,3888
FUN_000092,140,187,192,186,328,201,202,228,237,377
FUN_000093,113,138,160,124,237,199,139,297,182,225
FUN_000094,267,348,208,278,543,407,355,396,407,557
FUN_000095,366,486,210,335,907,451,407,654,492,693
FUN_000096,18,30,29,24,23,27,66,22,39,63
FUN_000097,52,75,50,35,129,140,33,193,132,153
FUN_000098,62,66,75,85,268,223,167,254,198,328
FUN_000102,100,164,154,123,161,118,110,139,127,206
FUN_000103,969,1432,1481,1225,1689,1455,1179,1471,1231,1578
FUN_000104,1097,1580,1713,1506,2569,2027,1681,2580,1946,2642
FUN_000106,300,645,465,313,690,281,286,407,456,535
FUN_000107,820,1363,1367,1022,1451,1487,968,1569,1211,1514
FUN_000108,70,110,67,69,133,127,72,151,96,177
FUN_000109,133,192,158,143,361,227,180,334,256,434
FUN_000110,88,98,35,65,228,146,137,231,131,221
FUN_000111,446,619,659,632,949,904,590,890,759,1063
FUN_000112,155,211,167,179,339,277,231,210,230,453
FUN_000113,574,1455,841,658,1076,792,916,764,622,1177
FUN_000114,903,1117,1099,1082,2239,1767,1374,1945,1678,2361
FUN_000115,1193,1169,752,827,2472,1345,1217,2226,1805,2310
FUN_000116,242,260,315,255,443,343,353,384,355,475
FUN_000117,3448,5785,6618,4898,5867,4525,4664,6105,4258,5237
FUN_000118,224,392,350,320,787,592,410,730,545,816
FUN_000119,1147,1511,508,884,2303,1893,1550,2282,2134,2993
FUN_000120,919,1146,792,798,2624,2041,1869,2734,2231,2916
FUN_000121,85,117,110,107,271,174,143,263,253,290
FUN_000122,1017,1402,1316,1237,1794,1536,1487,1668,1488,1950
FUN_000123,164,203,168,172,318,267,193,294,238,276
FUN_000124,1512,2308,2700,2493,3519,3117,2281,3428,2728,3723
FUN_000125,461,768,559,702,861,785,682,883,747,1018
FUN_000126,237,324,216,216,178,157,246,95,102,217
FUN_000127,242,367,358,315,470,387,364,428,338,497
FUN_000128,1835,2408,1982,1930,2476,1987,2565,2054,1656,2607
FUN_000129,97,128,97,66,233,203,116,261,236,236
FUN_000132,210,214,221,254,313,252,227,324,264,297
FUN_000133,196,350,195,121,783,549,202,1359,787,938
FUN_000134,463,623,442,372,1473,1264,620,2419,1470,1981
FUN_000135,81,150,160,143,178,105,107,129,119,152
FUN_000136,1211,1586,1496,1447,1635,1142,1425,1448,1079,1408
FUN_000137,592,894,748,761,1445,1184,789,1473,1322,1479
FUN_000140,26,28,0,19,36,37,32,92,42,85
FUN_000144,1259,2015,2274,2130,3072,2490,1857,3207,2583,3287
FUN_000145,721,995,1105,1071,1860,1482,943,1655,1386,1795
FUN_000146,1600,1911,1792,2500,2891,2539,2650,3318,2446,3320
FUN_000147,32,48,47,37,138,103,39,67,58,103
FUN_000148,709,1638,1051,1055,566,531,662,518,1237,977
FUN_000149,130,152,176,100,217,190,163,206,170,237
FUN_000150,659,1050,767,903,1083,1335,1112,1237,1181,1404
FUN_000151,568,661,456,701,1651,1311,855,1410,1285,1838
FUN_000152,437,618,507,527,1088,1052,612,773,698,1494
FUN_000153,803,1259,809,1128,1680,1330,1048,1297,1044,1629
FUN_000154,0,9,0,5,14,4,0,7,5,5
FUN_000155,15,18,22,14,26,29,16,51,31,60
FUN_000156,577,864,855,807,1778,1372,919,1580,1315,1742
FUN_000157,14,26,15,0,20,11,12,6,13,22
FUN_000158,188,337,242,252,317,262,341,290,354,367
FUN_000159,86,197,119,154,190,188,253,175,264,302
FUN_000160,305,516,319,362,696,542,389,435,455,732
FUN_000161,396,612,310,380,714,579,477,616,645,782
